id,nama,email,no_hp,tanggal_daftar,status
"32,""Drs. Prima Rahimah, S.Sos"",omegantara@hotmail.com,+62-0725-612-4104,31/07/2025,banned"
33,Pardi Hariyah,ardiantoelma@hotmail.com,+62-737-877-4109,13/01/2024,banned
34,Hari Mansur,xhardiansyah@hotmail.com,+62-70-243-0106,15-06-23,banned
35,Prayogo Damanik,luhung56@pd.go.id,(007) 572 1032,01/11/2023,inactive
36,Maimunah Wijaya,cuwais@cv.ponpes.id,088 226 0895,08/01/2024,active
"37,""Kiandra Novitasari, M.Ak"",gatot23@pd.int,+62-98-387-1322,23/12/2024,aktive"
38,Cagak Dongoran,mursininuyainah@cv.or.id,(074) 355 6904,31/10/2025,inactive
39,Tgk. Embuh Santoso,karimah73@yahoo.com,(066) 068-9303,27-07-25,active
"40,""Hj. Unjani Farida, S.E.I"",wibowomartaka@perum.web.id,+62 (0939) 696-1673,2025-06-04,Active"
41,Gasti Prasetyo,siregarvirman@perum.mil.id,+62 (088) 664-6001,2025-02-15,Active
42,Uli Sihombing,nabila45@yahoo.com,+62 (003) 682-7484,26/03/2025,Active
"43,""dr. Agus Wastuti, S.Pt"",artawankusumo@yahoo.com,+62 (0855) 238 9496,2025-08-30,banned"
44,Lili Utami,wulandarigarda@hotmail.com,(046) 750-0570,2023-04-16,active
45,Hasna Handayani,kadir84@cv.go.id,(0812) 435-1757,14-09-24,Active
46,Queen Manullang,emasmansur@pt.net.id,+62 (0742) 490 5987,2025-03-19,Active
"47,""Rachel Narpati, S.Pd"",lalitamangunsong@cv.org,+62-060-602-3415,11-10-24,active"
"48,""Chandra Anggriawan, M.Kom."",mulyanainggolan@hotmail.com,+62 (0059) 479 8644,24/12/2025,banned"
49,Dt. Asmadi Aryani,santosoharsanto@ud.ac.id,+62 (95) 742 9555,06-09-23,Active
50,Jindra Permata,zulkarnainkarya@yahoo.com,+62-13-942-2578,2025-02-17,active
51,Vicky Nasyidah,dkusmawati@yahoo.com,+62-037-966-8723,21-01-23,active
52,Drs. Laila Ardianto,jail23@gmail.com,+62 (52) 926-4044,2026-01-21,active
53,Gilda Haryanto,dirja78@yahoo.com,(0025) 313 3543,04/05/2023,banned
"54,""Bakti Saptono, S.IP"",wthamrin@pd.ponpes.id,+62-0841-420-8140,12-01-25,active"
55,Puti Kamila Najmudin,caturangga04@gmail.com,+62-077-675-1761,14-06-25,aktive
"56,""Rendy Wibowo, S.T."",jasmanisihotang@hotmail.com,(0700) 172-2217,2024-12-10,banned"
57,Aswani Ramadan,yuni77@pt.co.id,(0951) 613-3556,15/08/2024,inactive
58,Tomi Suryatmi,vsinaga@cv.com,+62 (11) 850-4730,08-10-23,banned
59,Anggabaya Sitorus,irmanasyiah@hotmail.com,083 122 1325,22-05-24,Active
"60,""Jamalia Maulana, S.Psi"",sarahsihombing@cv.org,+62-756-881-5804,2025-12-28,aktive"
61,Rizki Pangestu,prayitna11@yahoo.com,0823061201,12-04-24,aktive
"62,""R.M. Bakiman Samosir, S.I.Kom"",rwacana@hotmail.com,(0804) 052 7901,2023-08-02,inactive"
63,dr. Ika Kusumo,kuswandariendah@cv.desa.id,+62 (90) 289 3184,16-11-25,Active
64,H. Jaswadi Nugroho,niyagaagustina@pd.ponpes.id,(082) 435 1605,2026-04-11,Active
65,Ilsa Wijayanti,nugrohotina@perum.gov,+62 (846) 968 3505,29-08-23,banned
66,Gading Rajasa,karsana71@ud.or.id,080 679 5026,18-01-24,aktive
67,Elvina Setiawan,gsihombing@yahoo.com,+62 (0009) 942-4260,08/04/2024,inactive
68,Cemplunk Ardianto,tampubolonophelia@pd.or.id,(047) 559 1249,14/12/2023,banned
69,Umi Prayoga,dananghartati@hotmail.com,+62 (32) 194-6787,11/01/2026,banned
"70,""T. Jindra Hariyah, S.I.Kom"",spadmasari@perum.mil.id,+62 (0969) 292-9304,2025-03-15,aktive"
"71,""R.A. Eva Pradipta, M.Kom."",hwidiastuti@pd.ac.id,+62-025-627-9074,09-08-25,aktive"
72,Iriana Dabukke,ositompul@yahoo.com,+62 (82) 514 3037,17-04-25,inactive
"73,""Najib Sihotang, S.Pd"",permatahasim@gmail.com,+62 (768) 202-2489,23/11/2024,active"
74,Harjo Najmudin,respati77@pt.co.id,+62-722-413-1765,2023-11-04,active
75,Gading Santoso,bagyasuryono@pt.org,+62-390-039-5346,12/06/2023,banned
76,Darmana Siregar,cemplunk17@pt.mil,+62 (088) 084 4681,30/07/2024,inactive
"77,""Taswir Hassanah, S.Gz"",simbolonbagya@perum.ponpes.id,(0341) 649 0542,2024-08-28,active"
78,Ghaliyati Winarsih,ikinramadan@gmail.com,+62 (0552) 653 4432,25/02/2023,active
79,Widya Winarsih,surya04@perum.gov,(0809) 499-5535,28-06-24,Active
80,Kariman Saptono,ikhsanusada@hotmail.com,(0331) 723 4746,2023-07-27,active
"81,""Sutan Vino Permadi, S.Psi"",maryatigalih@pd.id,0887090071,28/02/2025,Active"
82,Dr. Clara Pertiwi,wsitumorang@pd.gov,+62-0973-482-1444,2024-02-14,Active
83,Hj. Ulya Rahimah,jayengnasyiah@cv.ac.id,(067) 579-0462,30/04/2024,aktive
84,R.A. Syahrini Hutasoit,jaeman54@pd.co.id,(086) 961-7164,01-04-23,inactive
85,Karman Laksmiwati,wira69@ud.gov,+62 (088) 586-0102,2024-06-05,aktive
86,Lukman Nainggolan,oniagustina@cv.ponpes.id,+62-62-050-0007,03-01-26,banned
87,drg. Raina Nababan,hartanapangestu@yahoo.com,086 991 5350,01-08-24,banned
88,Safina Wastuti,mahdiwijayanti@hotmail.com,0883955921,14/07/2023,banned
89,Karimah Usamah,wibisonochandra@pt.org,+62-490-815-8155,28/01/2025,Active
90,Wirda Latupono,yuniargatra@cv.int,+62-743-782-8882,20-04-25,inactive
91,Zamira Mandasari,karman35@perum.sch.id,(0977) 034-4168,23/11/2023,active
92,Ir. Kania Hakim,sakuratamba@cv.desa.id,+62-018-454-6308,2025-04-03,active
93,Ir. Soleh Pratiwi,vanya95@cv.id,+62-002-234-1645,15-02-26,aktive
94,Ina Halimah,xmegantara@pt.co.id,082 281 5963,2023-08-19,Active
95,Adiarja Waluyo,lmandala@gmail.com,+62 (39) 969-6817,01/02/2024,aktive
96,Indah Utama,saptononova@pt.biz.id,+62 (785) 016-3067,10-11-24,aktive
97,Dina Sudiati,gina54@yahoo.com,+62 (944) 630 6821,2023-09-24,aktive
98,Putri Sihombing,lazuardiemas@hotmail.com,+62 (025) 662 3576,2024-07-14,inactive
99,Fitria Nasyidah,iwidodo@gmail.com,(014) 660-7479,11/02/2023,Active
100,T. Gandewa Simbolon,padmasaribakiadi@gmail.com,+62 (0711) 104 2367,2025-01-28,inactive
101,Irma Nasyiah,verapurnawati@yahoo.com,+62 (018) 153-3741,2024-12-09,Active
"102,""R.A. Amalia Nashiruddin, S.Pd"",lembah89@gmail.com,+62 (073) 700 7366,2026-01-10,banned"
103,R. Mariadi Anggriawan,ipermadi@perum.id,+62 (0733) 075 2023,27/03/2025,aktive
"104,""Dr. Xanana Ardianto, S.E.I"",prabu78@yahoo.com,+62-430-016-7904,2024-09-17,Active"
105,Humaira Gunarto,pradanaarta@gmail.com,(0901) 612 8701,12-11-23,inactive
"106,""Laila Hidayat, M.M."",dian54@hotmail.com,+62 (363) 068-6323,12/08/2025,inactive"
107,Asmianto Pratama,bgunarto@hotmail.com,+62 (041) 618 9850,2026-01-25,Active
108,Lasmono Winarno,iswahyudipurwa@hotmail.com,+62-93-171-9726,05/05/2025,Active
109,Cemani Narpati,najibprayoga@ud.my.id,+62 (0924) 279-3727,23-11-25,banned
"110,""Drs. Citra Mulyani, S.Farm"",jailsimanjuntak@yahoo.com,+62 (85) 154-5297,26-01-25,Active"
"111,""drg. Jumari Pangestu, M.Pd"",qlaksita@hotmail.com,+62 (385) 149-3150,13-02-24,Active"
112,Umaya Simbolon,gara17@yahoo.com,085 992 6762,26/03/2023,banned
113,Karya Nashiruddin,prasetyobaktiono@perum.go.id,+62 (068) 370 3703,2024-04-08,banned
114,drg. Fitriani Nugroho,iharyanto@pd.edu,+62 (0152) 022 0894,2023-05-21,inactive
115,Cut Kamaria Firmansyah,suryatmimujur@perum.ac.id,(0178) 394 0268,14-03-23,inactive
116,Endah Kuswoyo,qnugroho@hotmail.com,(0932) 888 9350,10-01-23,Active
"117,""Drs. Tami Situmorang, S.Sos"",murtiiswahyudi@perum.edu,(0504) 548-8989,12/06/2025,banned"
"118,""Dr. Lili Gunarto, M.M."",nova62@ud.web.id,+62-647-338-2558,01/03/2023,active"
119,drg. Viktor Hutagalung,uda90@hotmail.com,+62 (72) 645 5060,08/06/2025,Active
120,Putri Saptono,adityamaheswara@gmail.com,(029) 603-8081,25-08-25,inactive
"121,""Tania Nuraini, S.Kom"",warsasirait@pd.net.id,+62-745-236-6192,2024-07-27,aktive"
"122,""Tania Hartati, S.E."",cakrabuana98@gmail.com,(0363) 184 5607,29-10-25,banned"
123,Dr. Jayeng Prastuti,pancahastuti@cv.mil.id,+62-54-515-3879,2024-12-12,Active
124,Malika Wijayanti,dariminwinarsih@yahoo.com,(073) 843-1217,30-04-23,inactive
125,Fitria Najmudin,natsirgandi@hotmail.com,+62-047-164-8638,11-01-23,banned
126,Citra Kuswoyo,nurul14@yahoo.com,+62 (0226) 205-8588,24/07/2024,banned
127,Bakiadi Maheswara,rafi77@cv.org,(072) 492-5597,2026-01-05,aktive
128,Nova Yolanda,ssiregar@pt.mil,+62 (39) 544 4594,08/03/2026,aktive
"129,""Ajeng Tamba, M.Kom."",jinawi82@ud.net,(0161) 913 3493,12/06/2024,active"
"130,""Tgk. Fitria Kusumo, S.Kom"",zsaptono@ud.net,+62 (064) 735 9450,2025-11-16,inactive"
131,Zulfa Yuliarti,kanda05@hotmail.com,0850214352,19-12-23,banned
"132,""drg. Muhammad Rahmawati, S.H."",gading92@yahoo.com,(0066) 785 3288,21-08-23,active"
"133,""Ivan Nashiruddin, M.Farm"",simanjuntakgina@cv.com,0887932922,14-03-24,Active"
134,Ani Firmansyah,febiprakasa@gmail.com,088 843 2780,20/12/2023,inactive
"135,""Hj. Qori Suryono, S.Gz"",cahyantoprasetya@gmail.com,+62 (080) 021 2714,25/11/2025,active"
136,Kalim Ramadan,usamahpanca@yahoo.com,(0424) 447-7384,03/10/2025,inactive
137,Alika Jailani,ysimanjuntak@cv.desa.id,(0460) 636 1217,17-11-23,Active
138,Wage Rahimah,galar06@yahoo.com,0837046179,17-02-24,banned
139,Cut Juli Maulana,etampubolon@gmail.com,+62 (092) 158 5999,14-06-25,Active
"140,""Ir. Wakiman Halim, S.Pt"",lailasaritira@yahoo.com,+62-0650-317-0074,21/07/2023,active"
141,Lili Astuti,halimahasmuni@hotmail.com,083 105 7647,10-01-25,Active
142,Indra Wahyuni,ssihotang@ud.gov,+62 (76) 470 0744,04/11/2024,Active
"143,""Ir. Saka Safitri, S.Kom"",manullanglalita@yahoo.com,+62 (021) 354-3105,03/08/2025,aktive"
144,Uchita Prastuti,wastuti@yahoo.com,(0373) 489 4641,12/09/2023,banned
145,Genta Habibi,lwinarno@perum.gov,0880136938,15-04-23,banned
146,Harjasa Farida,karimah73@yahoo.com,+62 (36) 456 1568,22-08-24,active
147,Irfan Maulana,jwahyudin@ud.sch.id,+62 (15) 935-8858,21/04/2025,active
148,Ida Tarihoran,najamsuwarno@ud.ponpes.id,+62 (085) 348 7021,10-01-23,Active
149,Yuliana Wastuti,rsiregar@pd.biz.id,+62-049-761-4072,11-02-23,banned
150,Dinda Mandala,wsimbolon@yahoo.com,+62 (0241) 442 1078,19/06/2024,aktive
"151,""Tgk. Cawuk Laksmiwati, S.Gz"",raisatarihoran@cv.gov,088 272 7994,20/11/2025,aktive"
"152,""Tgk. Darman Widiastuti, S.Sos"",ruyainah@yahoo.com,+62 (949) 862 8842,16/01/2025,inactive"
"153,""R. Bakidin Tampubolon, S.Pt"",andrianipaulin@hotmail.com,089 602 7754,2025-11-27,aktive"
154,Zelda Mayasari,xnajmudin@hotmail.com,0897119156,20/03/2025,Active
155,Sutan Makara Situmorang,utarihoran@ud.desa.id,+62 (068) 097-4056,05/02/2026,Active
"156,""Tasnim Padmasari, M.Ak"",ssihotang@ud.gov,+62 (873) 559-3035,21-09-25,banned"
"157,""Intan Sirait, M.Farm"",nyana36@cv.my.id,+62 (0038) 246-5727,2023-01-09,inactive"
158,Bagya Mandasari,ojailani@pt.id,(0257) 008-6741,27-11-23,active
"159,""dr. Devi Hartati, S.E.I"",mustofa40@hotmail.com,(016) 090 2851,2023-08-25,banned"
160,Juli Yuliarti,tarihorancatur@ud.ponpes.id,+62-47-198-9352,06/04/2026,Active
161,Yance Mansur,samosirdaruna@cv.org,+62 (610) 547 3937,15-07-25,banned
"162,""R. Garan Namaga, S.Psi"",bajraginagustina@ud.com,+62 (88) 039-8726,30/12/2023,inactive"
"163,""Ir. Ade Budiyanto, M.Farm"",taliasinaga@ud.id,+62-582-479-7490,04-03-26,aktive"
164,Jaka Astuti,ynapitupulu@gmail.com,(0554) 799 8479,2023-08-21,active
165,Cawuk Saragih,oliviafirgantoro@pd.net,+62-0733-400-8822,01-07-23,inactive
166,Drs. Darmana Firgantoro,baktiantopermadi@gmail.com,+62-70-088-0077,19-11-24,active
167,Pia Budiyanto,ade77@cv.desa.id,+62-03-173-4509,2025-02-06,aktive
168,Rahayu Tampubolon,prasastagandi@gmail.com,(025) 954 8751,2023-12-18,banned
"169,""T. Bahuraksa Riyanti, M.Ak"",lailalaksita@pt.sch.id,+62 (030) 184-7876,13/07/2024,Active"
"170,""Puti Vanesa Rajata, S.Farm"",bnamaga@ud.int,+62-81-468-5579,30-12-25,banned"
171,Tirta Handayani,jarwadi60@yahoo.com,0884333303,18/02/2023,Active
"172,""Septi Budiman, S.Psi"",gatrasinaga@hotmail.com,088 532 5713,2026-03-12,banned"
"173,""Arsipatra Firmansyah, S.Gz"",kardimardhiyah@pd.int,+62-019-214-3181,03-02-25,inactive"
174,Kardi Yuliarti,ikhsanyulianti@gmail.com,+62 (240) 221-8556,15-12-23,banned
175,Jayadi Wacana,anitamegantara@gmail.com,(095) 227-5854,2023-08-25,aktive
176,dr. Rahayu Pradana,smandasari@hotmail.com,+62-0086-083-5190,07/06/2024,banned
177,Cut Violet Adriansyah,esitumorang@gmail.com,+62 (08) 079 4966,2024-08-28,Active
"178,""Zahra Wibisono, S.E.I"",wrajata@yahoo.com,+62-038-991-6952,2025-01-24,inactive"
"179,""Dt. Saka Hastuti, S.I.Kom"",wahyudinartanto@yahoo.com,+62 (91) 614 1778,2026-01-10,Active"
"180,""R.A. Tari Yulianti, S.T."",lyuliarti@yahoo.com,+62 (007) 990 2698,2024-12-28,inactive"
181,Michelle Winarno,hsafitri@gmail.com,+62-52-971-8168,09-08-24,aktive
182,Titi Kuswoyo,andrianihimawan@gmail.com,(083) 781-9129,26-01-25,Active
183,Siti Wibowo,irawandipa@gmail.com,(091) 449 5479,27/04/2023,banned
184,Karja Sudiati,lsafitri@gmail.com,+62 (206) 929-3189,12/02/2026,banned
"185,""R. Aurora Aryani, S.E."",mhakim@cv.ponpes.id,+62 (020) 132 2036,02/03/2026,active"
"186,""Upik Sudiati, S.Psi"",padmasaricawisono@gmail.com,+62 (426) 287 7505,2023-08-06,active"
187,Prayoga Hutapea,msihombing@hotmail.com,+62-0062-128-4150,2025-01-04,active
"188,""Puti Gasti Hassanah, M.Pd"",hasna82@cv.int,(0910) 899-3282,21-05-24,aktive"
"189,""Lurhur Ardianto, M.M."",hakimperkasa@hotmail.com,(086) 333-3586,06-04-26,Active"
190,Hairyanto Namaga,zkuswandari@ud.or.id,(067) 270 3835,2025-06-22,aktive
"191,""Caraka Mahendra, S.E."",rafidnovitasari@hotmail.com,(040) 827 7532,06/07/2024,Active"
192,Ikhsan Mandala,prastutiajiono@pt.int,(089) 975 1389,14-06-25,active
193,Respati Manullang,iriyanti@yahoo.com,+62 (426) 602-4012,13-12-25,banned
194,Ikhsan Permadi,chidayanto@ud.int,083 832 9028,2024-04-20,inactive
195,Atmaja Wahyuni,kuswandariasmuni@yahoo.com,+62 (0114) 339-9204,28-06-25,active
"196,""R. Puti Hidayat, S.I.Kom"",dirja14@hotmail.com,+62 (0247) 546-3343,20/01/2023,active"
"197,""Drs. Jessica Wibisono, M.Ak"",enteng40@pt.mil,+62 (86) 398 8818,17-09-24,banned"
198,Samiah Laksmiwati,vero83@gmail.com,+62 (169) 039-6704,2024-05-05,Active
"199,""Sutan Maryadi Permata, S.I.Kom"",gandewaprayoga@pt.my.id,(034) 029-3953,2025-08-18,active"
"200,""Puti Michelle Kurniawan, M.TI."",mulyanainggolan@hotmail.com,+62 (021) 976 0589,17/04/2023,Active"
201,Danu Utami,susantiokto@yahoo.com,+62-537-554-5060,2023-12-20,inactive
202,Ade Putra,aslijan54@gmail.com,+62 (043) 983 6684,02/08/2024,banned
203,Jarwi Damanik,karja85@cv.ponpes.id,(033) 972-9519,2025-02-18,Active
204,Nova Lailasari,hidayantotania@yahoo.com,+62 (0068) 274-2297,13-06-24,banned
"205,""R. Calista Lazuardi, S.E."",ulvaoktaviani@ud.ac.id,+62 (01) 864-4392,2025-09-15,active"
206,Saadat Suryatmi,lantar13@yahoo.com,+62 (0184) 073 7496,10-01-26,banned
207,Candra Anggraini,uda85@yahoo.com,(0273) 550 5582,13-01-24,banned
"208,""drg. Gilda Dabukke, S.Gz"",yyulianti@hotmail.com,+62 (0908) 894-8890,01/04/2026,active"
209,Drs. Putri Nurdiyanti,halima90@pd.sch.id,+62 (568) 382-3529,14/10/2025,inactive
210,Dr. Septi Latupono,garang28@pt.edu,+62 (0845) 119-5287,2024-02-26,Active
211,Humaira Purwanti,natsirraditya@pt.mil,0877193709,05/07/2023,Active
"212,""Clara Situmorang, S.Sos"",martanapradana@gmail.com,(078) 850 9728,2025-07-19,Active"
"213,""Paulin Purnawati, S.Sos"",ridwan87@yahoo.com,+62 (066) 781 1197,27-03-23,active"
214,Jarwi Budiyanto,hassanahnajib@pd.net.id,+62-071-868-1984,29/04/2026,inactive
"215,""Tgk. Arta Sihombing, S.I.Kom"",ophelia14@pd.sch.id,+62-75-343-2069,2025-03-09,active"
216,Nurul Sihombing,dkurniawan@hotmail.com,(067) 132-1070,2025-04-12,banned
217,Lukman Narpati,uyainahharsanto@pt.id,+62-037-992-1118,22/09/2024,active
218,T. Pardi Namaga,kairav73@perum.mil,+62 (015) 227-3143,26-03-23,banned
219,Imam Andriani,kamila50@ud.mil,+62 (0659) 750-7911,2024-01-20,active
220,Gangsar Aryani,hakimwani@yahoo.com,088 313 0198,30/11/2024,active
221,Aurora Safitri,zulaikha85@yahoo.com,082 268 6430,14-03-25,inactive
"222,""R. Titin Anggraini, S.Psi"",gentamahendra@gmail.com,+62 (012) 210 8551,06-04-25,Active"
"223,""Cahyanto Puspasari, S.IP"",irwan26@cv.id,+62 (040) 788 9886,25-05-24,aktive"
224,T. Jabal Pratama,gading92@yahoo.com,+62 (099) 785 1375,03/08/2024,inactive
"225,""Drs. Elvina Kuswoyo, S.IP"",anggrainimala@hotmail.com,+62-0433-177-4787,01-10-25,aktive"
226,Galak Widodo,tmarpaung@hotmail.com,+62 (75) 739 4157,21/07/2023,aktive
227,Ir. Jamil Safitri,jessica92@pt.ponpes.id,+62 (250) 010-4865,2023-04-16,active
228,Ibun Saputra,harsana68@gmail.com,+62-0154-067-9402,11/02/2024,aktive
229,Samiah Saragih,dian60@pt.or.id,+62 (17) 158 9971,07/09/2023,banned
230,Maimunah Pangestu,hlazuardi@cv.gov,0806469098,2023-05-15,Active
231,Intan Tamba,spermata@hotmail.com,(0041) 368 0662,19/05/2023,inactive
232,Cawisono Firgantoro,yuliananababan@ud.net.id,(039) 596 6781,29/12/2023,inactive
233,Darijan Hakim,jaswadi39@ud.mil.id,+62-096-117-3109,19-10-23,banned
234,Aris Hutagalung,znarpati@yahoo.com,+62 (0935) 697-4945,2026-01-01,banned
235,Tirtayasa Palastri,pangestupangestu@yahoo.com,+62 (52) 285 2000,27/09/2025,active
236,Ophelia Sudiati,yuyainah@hotmail.com,+62-59-927-3786,2023-05-20,banned
"237,""Atma Marbun, M.Ak"",qoriprasetyo@cv.my.id,+62-657-453-2872,06/07/2024,aktive"
"238,""KH. Gada Yolanda, M.Ak"",leo34@ud.desa.id,+62-81-767-9423,23/09/2024,inactive"
"239,""Cut Cinthia Suryatmi, M.Ak"",hutasoitkenari@hotmail.com,+62-0604-343-3172,02-04-26,Active"
240,dr. Tedi Sinaga,purwantiprabawa@gmail.com,(087) 387-2916,24/05/2025,banned
"241,""Chelsea Uwais, M.M."",karja30@perum.int,+62 (53) 360-7411,2025-01-18,inactive"
"242,""Puti Ifa Nuraini, S.IP"",bajraginjailani@gmail.com,+62 (39) 378-2875,28/03/2023,inactive"
243,Kani Kusumo,cemetisamosir@pt.or.id,+62-062-817-9041,2024-11-30,inactive
244,Ir. Salsabila Kurniawan,kurniapranowo@cv.org,+62 (666) 611-9298,29/04/2023,active
245,KH. Kayun Hastuti,hastutipadma@ud.or.id,+62 (015) 763-6281,10/01/2025,inactive
246,KH. Prasetyo Wijayanti,cahyanasyiah@pt.edu,0802687115,2025-08-31,active
247,Makuta Iswahyudi,uhutapea@hotmail.com,+62 (78) 991-7898,11-12-23,banned
248,Asirwanda Prakasa,narpatiemil@yahoo.com,+62-838-273-3904,16-02-23,inactive
"249,""Capa Tamba, M.Pd"",prima52@hotmail.com,+62-092-855-5077,12/11/2024,inactive"
"250,""Wahyu Rahayu, S.H."",kalimpratiwi@ud.ac.id,(027) 972 3432,07-09-25,Active"
"251,""Ir. Galih Iswahyudi, M.M."",ganda92@cv.mil,086 595 9763,22-03-24,aktive"
252,Endah Mandasari,siraityono@hotmail.com,(067) 852-3864,18-08-24,aktive
"253,""KH. Dono Mustofa, S.Pt"",wuyainah@perum.edu,+62 (873) 924-1499,2024-06-21,banned"
254,Nyoman Salahudin,nainggolanhasim@pd.my.id,(0792) 636-7380,18/03/2026,active
255,Salimah Damanik,puspitabagiya@hotmail.com,089 232 5830,2024-04-03,inactive
256,Agnes Sudiati,ugunawan@yahoo.com,+62-40-414-5479,07/12/2025,active
257,Azalea Pranowo,karimah09@cv.mil.id,+62-055-883-6516,17/10/2023,Active
258,Candra Putra,csaptono@pt.net,+62-063-835-7974,2023-04-22,active
"259,""R. Harimurti Marbun, M.TI."",nataliawaskita@perum.or.id,+62 (915) 995 0915,09/09/2024,inactive"
260,Kemba Anggraini,danujawinarsih@hotmail.com,(070) 410 8276,12/07/2023,inactive
"261,""Aris Mulyani, S.Gz"",iswahyudidewi@yahoo.com,+62 (96) 936 8809,25/02/2024,banned"
262,Yulia Simbolon,opan92@pt.my.id,+62 (504) 444-5109,17-02-24,aktive
263,Rachel Rahayu,iswahyudicaraka@hotmail.com,(0268) 469-5007,09-02-23,inactive
"264,""Putu Wahyudin, S.Farm"",putianggriawan@yahoo.com,(009) 188-0810,09-09-24,banned"
265,Martaka Halimah,gadanasyiah@perum.or.id,+62-902-048-4848,24/02/2026,aktive
"266,""T. Tugiman Setiawan, S.H."",prayitnapangestu@perum.ponpes.id,+62 (092) 179-9977,17-05-24,inactive"
"267,""Cut Nadine Mustofa, S.Pd"",manullangluwar@perum.or.id,+62 (0813) 022 3806,12/04/2025,banned"
268,Fathonah Nasyiah,verapurnawati@yahoo.com,+62 (904) 592 1709,08-02-23,active
269,Opung Tampubolon,umangunsong@perum.com,(080) 497 6135,2024-12-09,banned
"270,""Ir. Lala Salahudin, S.I.Kom"",permatanyoman@perum.or.id,0858999433,2024-09-20,active"
271,Bala Hastuti,ypangestu@perum.net.id,+62 (56) 874-5520,2024-12-16,aktive
272,Juli Suryono,gina54@yahoo.com,+62-49-565-2534,26-01-23,Active
273,Dr. Nadine Maheswara,mardhiyahsidiq@hotmail.com,+62 (0347) 166 5961,2024-04-03,banned
"274,""R. Martaka Halimah, S.Gz"",dastuti@gmail.com,+62 (060) 218-2293,13-03-24,aktive"
275,Bahuraksa Susanti,nurdiyantiina@hotmail.com,+62-594-093-0883,05/05/2024,inactive
"276,""Dr. Ella Susanti, S.I.Kom"",dadap94@hotmail.com,+62-42-344-1566,2025-09-20,Active"
277,Rafid Permata,nurainikamila@pd.biz.id,+62-21-895-5700,21/04/2026,aktive
278,KH. Prakosa Mardhiyah,hwinarsih@pd.org,+62-46-189-4491,30/09/2025,Active
279,Ozy Hutasoit,dnuraini@gmail.com,0887453339,28-05-25,inactive
"280,""Nasrullah Kuswoyo, S.Pt"",hartatiyunita@yahoo.com,081 234 2968,15-11-25,inactive"
